title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Brand Strap Color,Closure,Sensor,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Bluetooth Version,Operating Range,Call Features,Third Party App Support,Display Resolution,Display Size,Display Type,Other Camera Features,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Number of Buttons,Other Watch Functions,Speaker,Microphone,Audio Features,Gesture Control,Voice Control,Other Multimedia Features,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Color,Maximum Operating Altitude,Compatible Device,Talk time,Stand By Time,Operating System,RAM,Internal Memory,Email Support,Other Connectivity Features,Flash,Supported Audio Format,Speaker Volume,International Warranty,Number of Cores,Processor Name,Other Dimensions,Processor Speed,Compatible Operating System,Primary Camera,Diameter,Video Features,Expandable Memory,Supported Video Format,HD Recording,HD Playback
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,199",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/s/j/a/-original-imagz952pdgkgzsq.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itme7b66e7e9ec39?pid=SMWGMH4JCHJHHEEU&lid=LSTSMWGMH4JCHJHHEEUHY4QIJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_33&otracker=search&fm=organic&iid=321c30d6-360f-4c59-9b2e-7d50c9ba9a69.SMWGMH4JCHJHHEEU.SEARCH&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Rectangle,White,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,,Men & Women,Android & iOS,Snow Leather,,"Real Heart Rate, Real SPO2, Pedometer","Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",,240 x 280 Pixels,1.85 inch,TFT,,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese",,"Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,,,Yes,,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : 9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,Multicolour,,Smartphone,,600 Hr,,,,No,,,,,,,,,,,,,,,,,
Sanvitraders T900 Smartwatch,₹699,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/7/o/i/49-t900-ultra-modern-smart-watch-series-8-s7-smartwatch-orange-original-imah46qgknagyzz2.jpeg?q=70,https://www.flipkart.com/sanvitraders-t900-smartwatch/p/itmd6a232237e0e4?pid=SMWH46QKMQUEZGUY&lid=LSTSMWH46QKMQUEZGUYESWZTK&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_1_37&otracker=search&fm=organic&iid=en_xnscYzKrUaPegXD46pe_hSBO67KKBVf6PYbdiwOBfrAjxwTYJxwJgtWkQ3SAzefWauvkyX5gaPUxHyvKVAOUow%3D%3D&ppt=None&ppn=None&ssid=9kmqrt8qr40000001738524630964&qH=87968ec020b2016b,2025-02-02 20:30:31,1 watch 1 wirless charger,"T900 Ultra Modern Smart Watch Series 8 S7 Smartwatch (Orange Strap, Free Size)",T900,Square,Orange,Silicone,free size,Yes,Yes,10 m,Fitness & Outdoor,Aluminium,Men & Women,Android & iOS,ORENGE,,all,yes,"Call Reminder, SMS Reminder, Social App Message Reminder",Lithium,60 min,1 DAY,Yes,wirless,,Yes,Yes,Yes,Yes,Yes,3.0,,yes,full support,320*386 pixel pixel,49 mm,HD,,Yes,Yes,CALCULATOR MOTION SENSOR MORE THAN 50 ADVANCED FEATURES,Yes,Yes,Yes,Yes,,yes,Yes,Yes,Yes,Yes,English,,"Specialized features, sensors, and bands designed for exploration, adventure, and endurance, 49-millimetre aerospace-grade titanium case for an ideal balance of weight, strength and corrosion resistance, Precision dual-frequency GPS system provides accurate location for calculating distance, pace, and route maps, Up to 36 hours of battery life for normal use along with low-power settings for even longer battery life",,,,no,No,,,,,,,,,,,Moulticolor,,all,,,,,,Yes,"Bluetooth Calling Function, Compatible OS Android 5.0 or above, iOS 8.0 or above, Bluetooth Version: BT 5.0 or above",,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹535,3.6,Data not available,Image not available,URL not available,2025-02-02 20:30:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/t/v/z/-original-imah63b2hzuzehaf.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-x-1-83-blazing-fast-ui-single-sync-bt-calling-calculator-in-built-games-smartwatch/p/itm94d55d2118343?pid=SMWH3PYKY7UFNZCW&lid=LSTSMWH3PYKY7UFNZCWF5XA3W&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_41&otracker=search&fm=organic&iid=en_dXUIZHw3Kl_G2dNCUrm-wSqEiCs-dBdy8FfGVE__wZDTYyQGkT65SD-DgNWfaAImrVxXrvn6tFai_VIQRJGzsQ%3D%3D&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt FS2+|2.01'' Display|Functional Crown|B...,"₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/n/1/j/-original-imah5hztwc84veub.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs2-2-01-display-functional-crown-bt-calling-ai-voice-assistance-ip68-smartwatch/p/itm767fcb0d7f814?pid=SMWH32R2ZKMBQ9EP&lid=LSTSMWH32R2ZKMBQ9EPRBMLFJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_45&otracker=search&fm=organic&iid=1bb36115-0576-40c1-ab32-27c66578778f.SMWH32R2ZKMBQ9EP.SEARCH&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,"Smartwatch, Charging Cable, Quick Start Guide, Warranty Card",38139PP01K,Revoltt FS2+|2.01'' Display|Functional Crown|BT Calling|AI Voice Assistance|IP68,Square,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Black,Buckle,Heart Rate & SpO2,"Call Notifications, Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifications, Other App Notification",Ring and Vibration,Lithium Polymer,120 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,"2.01"" LED Display with 240 x 286 Pixel Resolution, SingleSync BT Calling, AI Voice Assistant, 100+ Sports Modes and Watchfaces, Upto 5 Day Battery, In-bulit Games, IP68",Yes,Yes,No,No,No,v5.2,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications, Quick Replies (Android)",,240 x 286 Pixels,51 mm,TFT,Camera Control,Yes,Yes,,Yes,Yes,Yes,No,"24x7 HRM, Auto Stress, SpO2, Sleep Tracker, Women's Health, Activity Tracker, Breathe Exercise, 100+ Multisports",Yes,No,Yes,Yes,No,English,1,"Calendar with Event Reminder, AI Voice Assistant, 100+ Sports Modes, Multiple Menu Styles, In-built Games, Stress Monitor, Alarm, Stopwatch, Timer, 100+ Watchfaces",Yes,Yes,Music Control,No,Yes,Music Control,40.2 mm,48.8 mm,12.2 mm,48 g,1 Year Limited Warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ S...,"₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/u/q/h/-original-imagx8nhjwxfayhj.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-xr1-1-38-bt-calling-fast-charge-100-sports-mode-ip68-calculator-fashion-smartwatch/p/itm8dc626b84baf7?pid=SMWH3PYZRHTT5H7P&lid=LSTSMWH3PYZRHTT5H7PFHN0NX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_49&otracker=search&fm=organic&iid=1bb36115-0576-40c1-ab32-27c66578778f.SMWH3PYZRHTT5H7P.SEARCH&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,"Smartwatch, Charging Cable, Quick Start Guide",38088PP05K,Revoltt XR1-1.38|BT Calling|Fast Charge|100+ Sports Mode|IP68|Calculator|Fashion,Round,Beige,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Women,Android & iOS,Beige,Buckle,Heart Rate & SpO2,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,120 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,"1.28"" UltraVU Display with Bright Pixel Resolution,SingleSync BT Calling with Advanced Chipset, Calculator, AI Voice Assistant, 100+ Sports Modes, One Click Health Measurement, Auto Stress Monitor, 24x7 Heart Rate Monitor, SpO2 and Sleep Monitor with REM Sleep, Breathe Exercise, Alarm, Stopwatch and Timer, Notifications, Weather Display, Camera and Music Control",Yes,Yes,No,No,Yes,v5.3,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications, Quick Replies (Android)",Not Supported,240 x 240 Pixels,1.38 inch,LCD,Camera Control,Yes,No,420 Nits Brightness,Yes,Yes,Yes,No,"One Click Measurement, 24x7 HRM, Auto Stress, SpO2, Sleep Tracker, Women's Health, Activity Tracker, Breathe Exercise, 100+ Multisports",Yes,Yes,Yes,Yes,No,English,1,"Calculator, AI Voice Assistant, One Click Measurement with 24x7 HRM, Auto Stress Monitor, SpO2 and Sleep Monitor with REM, Music and Camera Control, Built-In Games, Alarm, Stopwatch and Timer",Yes,Yes,Music Control,No,Yes,Music Control,46.4 mm,52.5 mm,10.7 mm,45 g,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise Colorfit Icon 2 1.8'' Display with Bluetooth Call...,"₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/s/y/-original-imah76jfhkg3epzj.jpeg?q=70,https://www.flipkart.com/noise-colorfit-icon-2-1-8-display-bluetooth-calling-ai-voice-assistant-smartwatch/p/itm9d8957f65c72e?pid=SMWGEH7WC8F4VKKZ&lid=LSTSMWGEH7WC8F4VKKZXFMRNR&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_53&otracker=search&fm=organic&iid=1bb36115-0576-40c1-ab32-27c66578778f.SMWGEH7WC8F4VKKZ.SEARCH&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-colorfiticon2-std-gld_win,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",Rectangle,Maroon,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,Polycarbonate,Women,Android & iOS,Deep Wine,Buckle,"Heart Rate, SpO2","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",Vibration,,,Upto 7 days,Yes,Magnetic Charger,,Yes,Yes,,,Yes,,10 m,"Reject Calls, Take Calls, Speed Dial",,240 x 286 pixel,1.8 inch,,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,Yes,Yes,,"Change Music, Answer Calls",Yes,,,,,,1 Year Manufacturer Warranty,Contact - productfeedback@nexxbase.com | support.gonoise.com | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,Gold,,"iPhone, Android Smartphones",,,,,,Yes,,,,,,,,,,,,,,,,,
Yash Enterprises T800 Android Smart Watch2 Men 4G Netwo...,₹662,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/shopsy-smartwatch/o/k/0/1-99-android-ios-t30-hitfy-yes-original-imagw7zqanuebesk.jpeg?q=70,https://www.flipkart.com/yash-enterprises-t800-android-smart-watch2-men-4g-network-bt-call-gps-ultra-smartwatch/p/itmd6bec57c6ad64?pid=SMWGWHVUMXHNUCMN&lid=LSTSMWGWHVUMXHNUCMN88ANIX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_57&otracker=search&fm=organic&iid=en_dXUIZHw3Kl_G2dNCUrm-wSqEiCs-dBdy8FfGVE__wZB_TJF_IiumKESEsMzTH2vCQqjgrkEYriilpIw20iuw6Q%3D%3D&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,"Smart watch, Wireless Charger, User Manual,Smart watch Strap",T800 Smart watch,T800 Android Smart Watch2 Men 4G Network BT Call GPS T800 Ultra,Square,Orange,Silicone,Free Size,Yes,Yes,,Watchphone,Aluminium,Men & Women,Android & iOS,Orange,,"Accelerometer, Gyroscope, Proximity Sensor","Calendar Reminder, Missed Call Notification","Ringer, Vibration",Lithium Ion,60 min,3 Days,Yes,Wireless,,Yes,Yes,,,Yes,,,"Mute Calls, Reject Calls, Take Calls, Speed Dial",,320 x 320 pixel,49 44,AMOLED,,Yes,Yes,"Additional Features are Blood oxygen and Blood Pressure Monitor, Multisports modes, Sedentary Reminder, Find Phone, Bluetooth, and many more. This smartwatch has a 400 mAh battery capacity with 2-3 days of normal usage and 7 days of standby time.",Yes,Yes,Yes,Yes,,Date & Time,,Yes,Yes,Yes,,3,,Yes,Yes,,,,,,,,,,,,,,,,,72 hr,72 hr,,,,Yes,,,,,,,,,,,,,,,,,
dicrobots T800 ultra smart watch with wireless charging...,₹759,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/o/7/p/49-nikhis-t800-orange-android-ios-ghostcreation-yes-original-imah4zheqsrhbhhf.jpeg?q=70,https://www.flipkart.com/dicrobots-t800-ultra-smart-watch-wireless-charging-smartwatchs-smartwatch/p/itmce8b76ec30382?pid=SMWH6BGDZFYBGP6P&lid=LSTSMWH6BGDZFYBGP6P1YHAW0&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_61&otracker=search&fm=organic&iid=en_dXUIZHw3Kl_G2dNCUrm-wSqEiCs-dBdy8FfGVE__wZCfeffxXsgV_IV44_utA2gkCALF0RTBUjwH1pHWK9N1Lg%3D%3D&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,1 smartwatch with 1 charginging cable,T800 Ultra Smart Watch & Wireless Charger Smartwatch,T800 ultra smart watch with wireless charging Smartwatchs,Square,Black,Silicone,Free Size,Yes,Yes,10 m,Watchphone,METAL,Men & Women,Android & iOS,BLACK,clip on,Fitness Health Sports G-sensor,"The T800 smartwatch keeps you connected with timely notifications for calls, messages, and social media updates, ensuring you stay informed without needing to check your phone constantly.",Vibrate and ringing,Lithium Ion,60 min,3 Days,Yes,WIRELESS CHARGER,,Yes,Yes,No,No,Yes,V 3.0,20 m,,,320 X 320 pixel,49.2 mm,AMOLED,,No,Yes,"- Touchscreen Interface: - Intuitive and responsive for easy navigation., - Customizable Watch Faces: -Personalize your smartwatch with various styles., - Adjustable Brightness Levels: - Optimize display visibility based on ambient light conditions., - Always-On Display Option: - Conveniently view time and notifications without needing to wake the watch., - Night Mode: - Reduces blue light emission for comfortable nighttime use., - High Resolution: - Sharp and detailed visuals for enhanced readability., - Color Display: - Vibrant colors for a more engaging user experience., - Anti-Fingerprint Coating: - Helps keep the display clean and smudge-free.",Yes,Yes,Yes,Yes,"SLEEP TRACKING, MOVEMENT MEASUREMENT",ALL,Yes,Yes,Yes,Yes,ENGLISH,3,"- Fitness Tracking: - Monitor daily activity, steps, and calories burned., - Heart Rate Monitoring: - Keep track of your heart health in real-time., - Sleep Tracking: - Analyze sleep patterns to improve sleep quality., - GPS Navigation: - Navigate routes and track outdoor activities., - Weather Forecast: - Stay informed with real-time weather updates., - Alarm and Reminder: - Set alarms and receive reminders throughout the day., - Call and Message Notifications: - Receive alerts for calls, messages, and social media notifications., - Music Control: - Manage music playback directly from your wrist.",YES,YES,NOISE CANCELLATION,,No,,60 mm,50 mm,45 mm,100 g,,,,,,silver,3000 m,ANDRIOD,72 hr,72 hr,,512 MB,256 MB,No,,,,,,,AS800,STANDARD,800,,,,,,,,
Fastrack Revoltt X-1.83'|Blazing Fast UI|Single Sync BT...,"₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/f/9/s/-original-imagxp8umxunyyvw.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-x-1-83-blazing-fast-ui-single-sync-bt-calling-calculator-in-built-games-smartwatch/p/itm5a26444458f59?pid=SMWGTMYY3DUQSTW9&lid=LSTSMWGTMYY3DUQSTW9JNZVHH&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&spotlightTagId=TrendingId_ajy%2Fbuh&srno=s_2_65&otracker=search&fm=organic&iid=1bb36115-0576-40c1-ab32-27c66578778f.SMWGTMYY3DUQSTW9.SEARCH&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38100PP01K,Revoltt X-1.83'|Blazing Fast UI|Single Sync BT Calling|Calculator|In-built games,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Black,Buckle,Accelerometer,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",Ring and Vibration,Lithium Polymer,150 min,Upto 7 days,Yes,Pogo Pin Charging Cable,,Yes,Yes,No,No,,v5.3,10 m,,,240 x 286 Pixel,46.48 mm,LCD,,,,,Yes,Yes,Yes,No,"Auto Stress Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 100+ Multisports with AI Coach & Auto Multisport Recognition",Yes,No,Yes,,,English,1,,Yes,Yes,,No,,,,,11.34 mm,40 g,1 Year Limited warranty,Titan customer care at 1800-266-0123 or email us at customercare@titan.co.in,,Physical Damage,,,,,,,,,,,,,,,,,,,,Android & iOS,,,,,,,
"Fire-Boltt Clickk 54.1mm (2.12 inch) AMOLED Display, Fr...","₹5,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/i/l/-original-imah4sskgx7pbbat.jpeg?q=70,https://www.flipkart.com/fire-boltt-clickk-54-1mm-2-12-inch-amoled-display-front-camera-nano-sim-slot-1000mah-smartwatch/p/itm489b9c9d1140c?pid=SMWH4HPV8HVBGMKG&lid=LSTSMWH4HPV8HVBGMKGZ957SB&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_69&otracker=search&fm=organic&iid=1bb36115-0576-40c1-ab32-27c66578778f.SMWH4HPV8HVBGMKG.SEARCH&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,"Smartwatch, Charging Cable, Manual, Warranty Card",BSW221 (4G),"Clickk 54.1mm (2.12 inch) AMOLED Display, Front Camera, Nano SIM Slot, 1000mAh",Square,Maroon,Silicone,Free Size,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical",Zinc Alloy,Men & Women,Android & iOS,Wineberry Blend,Buckle,"Support HX3605, With High Precision Support Dynamic Heart, True Blood Oxygen, HRV, Support/With 3-Axis Acceleration Sensor","Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",Vibrate,Lithium Ion,3 Hr,1 Day,Yes,USB Cable,,Yes,Yes,Yes,Yes,Yes,v4.2,10 m,,,410 x 502 Pixels,2.12 inch,HD,,No,Yes,"2.13"" AMOLED Square Display with 410x502 px High Resolution",,,Yes,,,,Yes,Yes,Yes,No,,2,,Yes,Yes,,,Yes,,59.5 mm,15.4 mm,15.4 mm,56.1 g,Covers Manufacturing Defects,Customer Support,Manufacturing Defects,Physical & Water Damage,1 Year,,,,4 Hr,36 Hr,,4 GB,64 GB,Yes,Android 4.4 or iOS 8.0 Supporting Bluetooth 5.0 Mobile Phones with System Version and Above,,,,,,Quad Core Processor,,,,2 MP,54.102 mm,,,,,
"Noise Fit Buzz with 1.32inch HD Round Screen, Bluetooth...","₹1,299",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/t/0/-original-imagkayfgzgrkhdd.jpeg?q=70,https://www.flipkart.com/noise-fit-buzz-1-32inch-hd-round-screen-bluetooth-calling-spo2-smartwatch/p/itmb66702556d4a7?pid=SMWGGDYS23HNAQKK&lid=LSTSMWGGDYS23HNAQKKZUCLDE&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_73&otracker=search&fm=organic&iid=1bb36115-0576-40c1-ab32-27c66578778f.SMWGGDYS23HNAQKK.SEARCH&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,"Smartwatch, Magnetic Charger, User Manual, Warranty Card","Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2","Fit Buzz with 1.32inch HD Round Screen, Bluetooth calling and SPO2",Round,Grey,Silicone,Regular,Yes,Yes,,Fitness & Outdoor,,Men & Women,Android & iOS,Grey,Buckle,"SpO2, Heart Rate",Smart Notification,Vibration,,,7 Days,Yes,Magnetic Charger,,Yes,Yes,,,Yes,,10 m,,,360 x 360 pixel,33.52 mm,,,,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,1 Year Manufacturer Warranty,Contact - help@nexxbase.com | support.gonoise.in | +91 8882132132,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,Yes,,,,,,,,,,,,,,,,,
Sanvitraders T800 ultra smart watch with wireless charg...,₹649,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/p/b/e/45-t800-android-ios-sanvi-traders-yes-original-imah3nu38k5ax9d2.jpeg?q=70,https://www.flipkart.com/sanvitraders-t800-ultra-smart-watch-wireless-charging-orange-smartwatch/p/itmaff38781a6ea1?pid=SMWH3NU3QQWN8GZM&lid=LSTSMWH3NU3QQWN8GZM7G2GIW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_2_77&otracker=search&fm=organic&iid=en_dXUIZHw3Kl_G2dNCUrm-wSqEiCs-dBdy8FfGVE__wZD3uNcd9m0yyy_z0JTKUtPzHhHnmREN1QeQKoORt_YZFA%3D%3D&ppt=None&ppn=None&ssid=piu2h7ov3k0000001738524658198&qH=87968ec020b2016b,2025-02-02 20:30:58,1,T800,"T800 ultra smart watch with wireless charging
 (Orange )",Square,Orange,Silicone,Free,Yes,No,,Fitness & Outdoor,,Men & Women,Android & iOS,Orenge,,"Gsensor, Heart rate sensor, Blood pressure sensor",,,Lithium,60 min,2 years,Yes,Wireless,,Yes,Yes,Yes,Yes,,2,10 m,"Mute call, Reject call, Speed dial",,240×240 pixel,45 mm,HD,,Yes,No,,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,,,,,44 mm,44 mm,14 mm,100 g,Na,Na,Na,Na,,,,,,,,,,,Bluetooth,,,80 dB,,,,,,,,44 mm,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-02 20:30:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹535,3.6,Data not available,Image not available,URL not available,2025-02-02 20:30:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
