title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Ideal For,Compatible OS,Brand Strap Color,Sensor,Compatible Device,Notification,Notification Type,Battery Type,Charge Time,Battery Life,Rechargeable Battery,Charger Type,Stand By Time,Other Features,Call Function,Bluetooth,Wi-Fi,GPS,Messaging Support,Email Support,Operating Range,Call Features,Display Resolution,Display Size,Display Type,Backlight Display,Scratch Resistant,Other Display Features,Calorie Count,Step Count,Heart Rate Monitor,Altimeter,Other Fitness Features,Date & Time Display,Compass,Calendar,Alarm Clock,Chronograph,Language,Other Watch Functions,Speaker,Microphone,Voice Control,Width,Height,Thickness,Weight,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Dial Material,Closure,Gesture Control,Bluetooth Version,Third Party App Support,Other Connectivity Features,Number of Buttons,Diameter,Maximum Operating Altitude,Talk time,Operating System,RAM,Internal Memory,Flash,Other Camera Features,Audio Features,Supported Audio Format,Speaker Volume,Other Multimedia Features,International Warranty,Video Features,Supported Video Format,HD Recording,HD Playback,Compatible Operating System,Processor Name
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/9/a/w/-original-imah8mtk5qagwhhz.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itm8e3a483f91c22?pid=SMWGMHUGET5DCJ3C&lid=LSTSMWGMHUGET5DCJ3CEHZXG3&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_4_157&otracker=search&fm=organic&iid=en_GhRa6hsv4zopQytH5ATwNwCWYKtudWwLDwhZd-mwMEgTyOg67veLrGO4E_aLL-mW3qRw_HvK-OGuh_RZWOO4Nkhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=sgovtmeank0000001739031609491&qH=87968ec020b2016b,2025-02-08 17:20:12,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Multicolour,Rectangle,Green,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Green,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,60 min,Upto 7 Days,Yes,Magnetic Charging Cable,288 Hr,"Fun Mini Games, Remote Camera, Custom Watch Face Option, 150+ watch faces, 500 nits high brightness display, Multiple Sports Modes",Yes,Yes,No,No,No,,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial",240 x 280 Pixels,1.69 Inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,60 Workout Modes,Date and Time,No,No,Yes,No,English,"Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",1 Speaker,Yes,Yes,35.78 mm,44.17 mm,11.6 mm,45 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,ABS,,,v5.0,,,1,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:20:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:20:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹1,499",4,Data not available,Image not available,URL not available,2025-02-08 17:20:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:20:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brigh...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/e/p/-original-imah8mtwtmmxa47x.jpeg?q=70,https://www.flipkart.com/boult-drift-bluetooth-calling-1-85-hd-500nits-brightness-150-watchfaces-spo2-smartwatch/p/itm9aab07df7f268?pid=SMWGMH4JA69PG4TF&lid=LSTSMWGMH4JA69PG4TF75UAZN&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_161&otracker=search&fm=organic&iid=en_utiPt9nDGCKklyNK2nXYS3-nFBnK3mWIeD5MekkhUefJbiiZMlWCn1nDn_jFdbFnDkJiK0KAyVoBicHEcdhZWQ%3D%3D&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,"Smartwatch, User Manual, Charging Cable, Warranty Card",Drift +,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Jet Black,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Ion,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,600 Hr,"Remote Camera, 150+ Watch Faces with Custom watch faces, 1.85inch 500 Nits High Brightness Display, 100+ Sports Modes, Health Monitor- 24x7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 280 Pixels,1.85 inch,TFT,Yes,No,High Brightness,Yes,Yes,Yes,No,100+ Workout Modes,Date and Time,No,No,Yes,No,"English (Default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Bluetooth Calling, 1.85inch 500 Nits High Brightness Display, Complete Health Monitoring, Female Cycle Tracker, 150+ Cloud Watch faces with custom watch face, 100+ Workout Modes, Sleep Tracking, Weather Details, Find My Phone, Multiple Fun Mini Games",1 Speaker,Yes,Yes,37.28 mm,10.75 mm,44.17 mm,42 g,1 Year Warranty from the Date of Purchase,Contact : Ph : (+91)9555602502 / Mail : support@boultaudio.com,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/t/n/-original-imagu7kz76b6zsmr.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-pro-world-s-first-1-96-super-amoled-highest-resolution-bt-calling-smartwatch/p/itm5260b543f6ba7?pid=SMWGTGAYBNSJHSHB&lid=LSTSMWGTGAYBNSJHSHBKHRINW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_165&otracker=search&fm=organic&iid=d4eb2680-958b-4156-8bd9-3feef4ee66ed.SMWGTGAYBNSJHSHB.SEARCH&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,"Watch Head, Watch Strap, Charging Cable, Quick Start Guide, Product Manual",38086PP13,"Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling",,Square,Beige,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Women,Android & iOS,Beige,Heart Rate & SpO2,,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifications, Other App Notification",Ring and Vibration,Lithium Polymer,60 min,Upto 5 Days,Yes,Pogo Pin Charging Cable,,"1.96"" Super AMOLED Display with 410 x 502 High Pixel Resolution, SingleSync BT Calling, 110+ Multisports, Sleep Monitor with REM Sleep, Auto Stress Monitor, 24*7 HRM, SpO2, Women's Health, Music & Camera Control, In-Built Alarm, Stopwatch & Timer, In-Built Games, Multiple Menu Styles, IP68 Water Resistance, 200+ Watchfaces, 7 Days Battery",Yes,Yes,No,No,Yes,,10 m,"Call Answer, Call Reject, Call Mute, Call Notifications",410 x 502 Pixels,1.96 inch,Super AMOLED,Yes,No,,Yes,Yes,Yes,No,"Auto Stress Monitor, 24*7 HRM, SpO2, Sleep Tracker, Women's Health, Activity Tracker, 110+ Multisports",Yes,No,No,Yes,No,English,"In-Built Alarm, Stopwatch, Timer",Yes,Yes,Yes,39.4 mm,46.6 mm,13 mm,46 g,1 Year Limited warranty,Titan Customer Care At 1800-266-0123 or E-Mail Us At customercare@titan.co.in,Manufacturing Defects,Physical Damage,1 Year,Polycarbonate,Buckle,No,V5.2,Not Supported,NA,1,,,,,,,,Camera Control,Music Control,NA,,Music Control,,NA,NA,NA,NA,,
"boAt Wave Call 2 Plus with 1.96’’(4.97cm), BT Calling, ...","₹1,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/q/d/m/-original-imah7e8fvnbsz6dg.jpeg?q=70,https://www.flipkart.com/boat-wave-call-2-plus-1-96-4-97cm-bt-calling-bilingual-support-ip68-smartwatch/p/itm3366f817937d0?pid=SMWH7YFCHHHXNFZE&lid=LSTSMWH7YFCHHHXNFZEXSOGNA&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_169&otracker=search&fm=organic&iid=d4eb2680-958b-4156-8bd9-3feef4ee66ed.SMWH7YFCHHHXNFZE.SEARCH&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,"Smart Watch, Charging Cable, User Manual",WA0001,"Wave Call 2 Plus with 1.96’’(4.97cm), BT Calling, Bilingual Support, IP68",,Rectangle,Black,Stainless steel,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Metal Black,"Heart Rate, SpO2, G-Sensor",,,,,,7 Days,,,,,Yes,Yes,,,,,,,240 x 282 Pixels,49.7 mm,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,Yes,,,,,,1 Year Warranty from the Date of Purchase,Reach out to us at info@imaginemarketingindia.com,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult Drift BT Calling HD Display, 140+ Watchfaces, Com...","₹1,099",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/q/r/-original-imah8mtwg2mckp23.jpeg?q=70,https://www.flipkart.com/boult-drift-bt-calling-hd-display-140-watchfaces-complete-health-monitoring-smartwatch/p/itmac37e7f2f1e18?pid=SMWGZSX5XGH2WYMA&lid=LSTSMWGZSX5XGH2WYMAYCSPMX&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_173&otracker=search&fm=organic&iid=d4eb2680-958b-4156-8bd9-3feef4ee66ed.SMWGZSX5XGH2WYMA.SEARCH&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,"Smartwatch, Charging Cable, User Manual",Drift,"Drift BT Calling HD Display, 140+ Watchfaces, Complete Health Monitoring",Multicolour,Rectangle,Orange,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Women,Android & iOS,Peach,"Real Heart Rate, Real SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails",Vibrate,Lithium Polymer,150 Min,Upto 7 Days,Yes,Magnetic Charging Cable,288 Hr,,Yes,Yes,No,No,No,Yes,10 m,"Pick up incoming calls, reject incoming calls, dial",240 x 280 Pixel,1.69 Inch,TFT,Yes,No,,Yes,Yes,Yes,No,60 Workout modes,Date and Time,No,No,Yes,No,"English (default), Chinese, Traditional Chinese, German, Korean, Spanish, Japanese, French, Russian, Arabic, Ukrainian, Italian, Portuguese","Female Cycle Tracker, Multiple Workout Modes, Sleep Tracking, Weather Details, Find Phone",Yes,Yes,,35.78 mm,44.17 mm,11.6 mm,45 g,Repair or Replace,Repair or Replace,Any kind of technical issue,"Physical damage, loss of smartwatch or any accessories.",1 Year,ABS,,,v5.0,,,1,,,,,,,,,,,,,,,,,,,Goodix 5515-64M
"Boult Trail Pro 2.01''3D Curved Display, 600Nits, 250+ ...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/e/b/l/-original-imah8nz33ycdgtxj.jpeg?q=70,https://www.flipkart.com/boult-trail-pro-2-01-3d-curved-display-600nits-250-watch-faces-health-track-ip68-smartwatch/p/itm036b362b7026e?pid=SMWH82VTHZFSFBE7&lid=LSTSMWH82VTHZFSFBE78BMRVY&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_177&otracker=search&fm=organic&iid=en_utiPt9nDGCKklyNK2nXYS3-nFBnK3mWIeD5MekkhUefFTqq_fnF8WACb3RLbyZH_Ma-E-wuNvU-fmJlj9Pcej_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,"Smartwatch, User Manual, Charging Cable, Warranty Card",BA-FK-Trail Pro-Silver,"Trail Pro 2.01''3D Curved Display, 600Nits, 250+ Watch Faces, Health Track, IP68",,Square,Silver,Stainless steel,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Men & Women,Android & iOS,Silver,"Real Heart Rate, SPO2, Pedometer",Smartphone,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder, Alarm Clock, Low Battery Reminder",Vibrate,Lithium Polymer,150 min,Upto 7 Days,Yes,Magnetic Charging Cable,,"World Clock, Remote Camera, 190+ Watch Faces with Custom Watch Faces, 2.01inch Display?, 120+ Sports Modes, Health Monitor- 24 x 7 Heart Rate Monitor, SpO2 Blood Oxygen Saturation Monitor, Female Menstrual Cycle Tracking, Blood Pressure Monitor, Drink Water Reminders, Sedentary Reminders, Sleep Monitoring, Calorie?s Count",Yes,Yes,No,No,No,No,10 m,"Pick Up Incoming Calls, Reject Incoming Calls, Dial, Dedicated Speaker and Mic, AI Voice Assistant",240 x 296 Pixels,51.054 mm,AMOLED,Yes,No,"3D Curved Glass, IPS Screen",Yes,Yes,Yes,No,120+ Workout Modes,Date and Time,No,No,Yes,No,English (Default),"Bluetooth Calling, 2.01inch? with 240x296 display resolution, Working Crown, Complete Health Monitoring, Female Cycle Tracker, 190+ Cloud Watch faces with custom watch face, 120+ Workout Modes, Sleep Tracking, Intelligent AI Voice assistance, Weather Details, Find My Phone, Remote Camera option, Other Functions : Alarm clock, Stopwatch, Timer, DND, Flashlight & more.",Yes,Yes,Yes,38.1 mm,48.1 mm,12.9 mm,49.5 g,1 Year Warranty from the Date of Purchase,Repair or Replace,Any Kind of Technical Issue,"Physical Damage, Loss of Smartwatch or Any Accessories",1 Year,,,Raise to Wake,v5.3,,,1,,,,,,,,,,,,,,,,,,,
"Noise Crew Go with 1.39"" Display, BT Calling with Metal...","₹1,599",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/z/f/6/-original-imah759hrk24uyjw.jpeg?q=70,https://www.flipkart.com/noise-crew-go-1-39-display-bt-calling-metal-strap-7-days-battery-life-smartwatch/p/itm0e03c14e438f7?pid=SMWGZW3CCRQGAWW7&lid=LSTSMWGZW3CCRQGAWW7EFOBHP&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_181&otracker=search&fm=organic&iid=en_utiPt9nDGCKklyNK2nXYS3-nFBnK3mWIeD5MekkhUecRZyOWgPdmA5VxWiOC9S-BgE4ocaopJbkKmmWL3VwVEQ%3D%3D&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,"Smartwatch, Magnetic Charger, User Manual, Warranty Card",wrb-sw-crewgo-meshmtl-gld_gld,"Crew Go with 1.39"" Display, BT Calling with Metal Strap and 7 Days Battery Life",Gold,Round,Gold,Stainless steel,Regular,Yes,Yes,1 m,Fitness & Outdoor,Women,Android & iOS,Gold Link,"Heart Rate, Accelerometer",,Yes,,,,Up to 7 Days,Yes,,,,Yes,Yes,,,,,10 m,,240 x 240 pixel,35.306 mm,TFT,,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,Yes,,,,,,1 Year Warranty from the date of purchase,Contact - help@nexxbase.com | support.gonoise.com | 02268056040,Warranty is applicable on manufacturing defects for all the products for 1 Year and accessories (If any) for 3 months from the date of purchase.,"unauthorized tampering, modification or repairs ; physical damage ; water logging or any other damage due to heat, humidity or moisture doing operations",1 Year,Metal,,,v5.3,,,,,,,,,,,,,,,,,,,,,,
"boAt Wave Fury with 1.83'' HD Display, Bluetooth Callin...","₹1,399",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/m/d/c/-original-imagyxxfcsnsw8zz.jpeg?q=70,https://www.flipkart.com/boat-wave-fury-1-83-hd-display-bluetooth-calling-functional-crown-smartwatch/p/itm3a4c5145ae5c3?pid=SMWGQHN4D9ZH75QN&lid=LSTSMWGQHN4D9ZH75QNBCZKRM&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_185&otracker=search&fm=organic&iid=d4eb2680-958b-4156-8bd9-3feef4ee66ed.SMWGQHN4D9ZH75QN.SEARCH&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,Wave Fury::?User Manual::Warranty Card::USB Magnetic Charging Cable,Wave Fury,"Wave Fury with 1.83'' HD Display, Bluetooth Calling & Functional Crown",,Rectangle,Blue,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Blue,"Accelerometer, HR and SpO2",,"Text, Call and Social media",,,,7 Days,,,,,Yes,Yes,,,,,,,240x284 pixel,1.83 inch,,,,,,Yes,Yes,,100+ Sports Modes,Yes,,Yes,Yes,,,,Yes,Yes,,,,,,1 year warranty from the date of purchase,Reach out to us at : info@imaginemarketingindia.com,Manufacturing Defects,,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/g/g/r/-original-imagzvhsqgmz26bg.jpeg?q=70,https://www.flipkart.com/fastrack-revoltt-fs1-pro-world-s-first-1-96-super-amoled-highest-resolution-bt-calling-smartwatch/p/itmf102793fb8fb0?pid=SMWGZ8355GPY5NPK&lid=LSTSMWGZ8355GPY5NPKSKWKXW&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_189&otracker=search&fm=organic&iid=d4eb2680-958b-4156-8bd9-3feef4ee66ed.SMWGZ8355GPY5NPK.SEARCH&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beatXP Unbound Nova 1.96” AMOLED Bluetooth Calling Smar...,₹999,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/c/l/4/49-78-unbound-nova-android-ios-beatxp-yes-original-imags9yh6gmnhuum.jpeg?q=70,https://www.flipkart.com/beatxp-unbound-nova-1-96-amoled-bluetooth-calling-smartwatch/p/itmcd77f5d0284f8?pid=SMWGS9YHXCEJFZGY&lid=LSTSMWGS9YHXCEJFZGYWS3WQJ&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_193&otracker=search&fm=organic&iid=d4eb2680-958b-4156-8bd9-3feef4ee66ed.SMWGS9YHXCEJFZGY.SEARCH&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,"1 X User Manual, 1 X Warranty Card, 1 X Smartwatch",BXIO3006/BXSM3006,Unbound Nova 1.96” AMOLED Bluetooth Calling,,Rectangle,Silver,Silicone,Free Size,Yes,Yes,,Fitness & Outdoor,Men & Women,Android & iOS,Ice Silver,Heart Rate Sensor,,,,,,7,,,,,Yes,Yes,,,,,,,410 x 502 pixel,49.78 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boult CrownR Pro 1.43''HD AMOLED, BT Calling, Zinc Allo...","₹1,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/smartwatch/h/0/t/-original-imagxp8vawtgnhyf.jpeg?q=70,https://www.flipkart.com/boult-crownr-pro-1-43-hd-amoled-bt-calling-zinc-alloy-frame-ip67-spo2-tracking-smartwatch/p/itm471c0855c0c44?pid=SMWGSVWZDVCRFH4C&lid=LSTSMWGSVWZDVCRFH4CFR3RV3&marketplace=FLIPKART&q=smart+watches&store=ajy%2Fbuh&srno=s_5_197&otracker=search&fm=organic&iid=en_utiPt9nDGCKklyNK2nXYS3-nFBnK3mWIeD5MekkhUeeEaBSj4O0VYaIwSPo6_YWyOHq2ngM8jfyHJIfyqTvXbEhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=4lntdul1wg0000001739031664874&qH=87968ec020b2016b,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹1,499",4.2,Data not available,Image not available,URL not available,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2025-02-08 17:21:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
