title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,Battery Backup,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Graphic Processor,Storage Type,Operating System,Mic In,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Sound Properties,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Included Software,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Supply,Processor Variant,Number of Cores,Internal Mic,Pointer Device,Additional Features,Battery Cell,Clock Speed,HDMI Port,Processor Generation,Finger Print Sensor,Cache,Supported Operating System,Expandable Memory,Expandable SSD Capacity,TGP,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,RJ45,Refresh Rate,Face Recognition,OS Architecture,Chipset,EMMC Storage Capacity,Security Chip,Memory Slots,RPM,Hardware Interface,Ethernet,Antivirus,Inbuilt 4G LTE,Stylus Included,RAM Frequency,System Architecture,S-video,Color Gamut,Brightness,NFC Support,Wireless WAN,Read/Write Speed,Recovery Options,Laptop Bag,Lock Port,Dock Port,Firewire Port,RJ11,VGA Port,Multi Card Slot,Sound Chip,Cloud Storage,Other Accessories,International Warranty,Certification,HDD Capacity
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,"₹37,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/u/e/-original-imah46f8th3pnphq.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMH4Y6KKRC9YSWE.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",NP750XGJ-LG4IN,NP750XGJ-LG4IN,NP750XGJ-LG4IN,Galaxy Book4 Metal,Gray,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i3,Yes,512 GB,8 GB,LPDDR4X,Intel Integrated Iris Xe,SSD,Windows 11 Home,,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD LCD Display,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",,Wi-Fi 6,v5.2,356.6 x 229.15 x 15.4 mm,1.55 Kg,Not Available,"Yes, 1 Megapixel",QWERTY,,,1 Year Onsite Warranty,Onsite,Manufacturer Defect Only,Physical Damage,,,1315U,,Internal Digital MIC,,,,Up to 4.5 GHz,,13th Gen,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹47,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/5/h/fx706hf-ny040w-gaming-laptop-asus-original-imah42g9kryftyea.jpeg?q=70,https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-70-tgp-fx706hf-hx018w-laptop/p/itm5b135cad5c8a9?pid=COMGZKHQVMNZXEAH&lid=LSTCOMGZKHQVMNZXEAHYLRJ6N&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMGZKHQVMNZXEAH.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",FX706HF-HX018W,90NR0HC4-M001H0,FX706HF-HX018W,TUF Gaming F17 - AI Powered Gaming,Graphite Black,Gaming Laptop,Gaming,,No,Intel,Core i5,Yes,512 GB,8 GB,DDR4,NVIDIA GeForce RTX 2050,SSD,Windows 11 Home,Yes,"1 x Thunderbolt 4 support DisplayPort, 3 x USB 3.2 Gen 1 Type-A, 1 x Thunderbolt 4 support DisplayPort",No,43.94 cm (17.3 Inch),1920 x 1080 Pixel,"FHD, 16:9 aspect ratio, 144Hz, 85/85/85/85, Value IPS-level, 250nits, 1000:1, 45%, 62.5%, 47.34%, Anti-glare display, Adaptive-Sync",Built-in Dual Speakers,,Wi-Fi 6(802.11ax) (Dual band) 2 x 2,v5.2,399 x 269 x 23.3 ~ 24.8,2.60 kg,Not Available,720P HD camera,Backlit Chiclet Keyboard 1-Zone RGB,Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,150W AC Adapter,11400H,6,Built-in array microphone,,48 WHrs Li-ion Battery,3 Cell,2.70GHz Upto 4.50GHz,1 x HDMI 2.1 TMDS,11th Gen,,12 MB,Windows 11 Home,32 GB,,70 TGP,GDDR6,4 GB,Yes,144 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY13HN/A,"₹81,949",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/v/c/a/-original-imagfdfpnjjpdhq2.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly13hn-a/p/itmd65f6b189fc7b?pid=COMGFB2GBKDVYBDD&lid=LSTCOMGFB2GBKDVYBDDM2PGFI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9LoYSc5sRuJMdrW56_rTg1MyoP_YFkdphCZpsq6cGpfkVF91k_NKRtsN7mkYTl-6AQ%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"MacBook Air, 30W USB-C Power Adapter, USB-C to MagSafe 3 Cable",MLY13HN/A,MLY13HN/A,MacBook Air,MacBook AIR,Starlight,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,8 GB,Unified Memory,NA,SSD,Mac OS Monterey,Yes,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",Built-in Speakers,"Stereo Speakers, Wide Stereo Sound, Support for Dolby Atmos",802.11ax Wi-Fi 6 wireless networking,v5.0,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,30 W USB-C Power Adapter,Apple M2 Chip,8,Three-mic Array with Directional Beamforming,Force Touch Trackpad,52.6 Watt Hour Lithium polymer Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,"₹31,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/6/c/-original-imah8gg2x4afkpxe.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itma6a6812aa712e?pid=COMH4B6CGTPNVJW9&lid=LSTCOMH4B6CGTPNVJW9JOF4ZC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9IhX48_JyLRQffLQxAncRZPxX3G0PKL_LvjbO9dlUK0RGaRs4JL222ZRV-dN99QnxU%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-53,UN.34RSI.002,A324-53,Aspire 3,Steel Gray,Thin and Light Laptop,Everyday Use,,No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,,"2 x USB 3.2 port, 1 x USB 2.0 port, 1 x Type-C port for PD Adapter",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,Two built-in stereo speakers,,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,Video conferencing: 2M With Privacy Camera Shutter,84-key Acer keyboard layout with US language: Additional feature.,,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,1305U,,Yes,,,,Max Frequency up to 4.50 GHz,,13th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,"₹22,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/i/j/l/a324-45-thin-and-light-laptop-acer-original-imah6gfdkf2m5rjf.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-512-gb-ssd-windows-11-home-a324-45-thin-light-laptop/p/itmbbfe217e40d59?pid=COMHFZYZFVD2MCAB&lid=LSTCOMHFZYZFVD2MCABTLQNKG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMHFZYZFVD2MCAB.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-45,UN.342SI.004,A324-45,Aspire 3,Pure Silver,Thin and Light Laptop,Processing & Multitasking,,No,Intel,Celeron Dual Core,Yes,512 GB,8 GB,LPDDR4X,Intel Integrated UHD,SSD,Windows 11 Home,,USB 3.0 ports,No,35.56 cm (14 Inch),1366 x 768 Pixel,HD,Yes,,Wi-Fi 5,v5.0,357.4 x 228 x 17.7 mm,1.3 Kg,Not Available,"T-Type HD camera, Compatible with Windows only",84key Acer keyboard layout with international language support including indicators of CapsLock and F2/Microphone mute,,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,24 W,N4500,,Yes,,,2 cell,,1 x HDMI Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-...,"₹79,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/x/l/-original-imah26h7vhenusmp.jpeg?q=70,https://www.flipkart.com/acer-swift-go-14-touchscreen-ai-pc-intel-core-ultra-5-125h-16-gb-512-gb-ssd-windows-11-home-sfg14-73t-58pz-thin-light-laptop/p/itm174fc1bfd505f?pid=COMGZH2UKZZXYGSA&lid=LSTCOMGZH2UKZZXYGSAF4SIUU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMGZH2UKZZXYGSA.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",SFG14-73T-58PZ,NX.KSMSI.002,SFG14-73T,Swift Go 14 TouchScreen AI PC,Pure Silver,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core Ultra 5,Yes,512 GB,16 GB,LPDDR5X,Intel Integrated Arc Graphics,SSD,Windows 11 Home,,"1 x USB 3.2 Gen 1 port with power-off charging, 1 x USB 3.2 port, 1 x USB Type-C port with DC-in",Yes,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA display with IPS (In-Plane Switching) technology, high-brightness (400nits) Acer ComfyView LED-backlit TFT LCD 16:10 aspect ratio, color gamut sRGB 100% with multi-touch, Wide viewing angle up to 170 degrees, Mercury free, environment friendly",Two built-in stereo speakers,,Killer Wi-Fi 7 Wireless LAN,v5.3,312.9 x 217.9 x 14.9 mm,1.3 Kg,Not Available,T-Type USB QHD camera with 2560 x 1440 resolution and 1440p QHD video at 30 fps with Temporal Noise Reduction,83-/84-/87-key full-size FineTip backlit keyboard with international language support,,,1 Year Carry-in Warranty,Carry-in,Manufacturing Defects,Physical Damage,,,125H,,Yes,,,,700 MHz upto max turbo frequency at 4.5 Ghz,1 x HDMI Port,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUS Vivobook S 15 OLED Intel EVO H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 1...,"₹76,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/e/r/-original-imagpxgrfnuappjr.jpeg?q=70,https://www.flipkart.com/asus-vivobook-s-15-oled-intel-evo-h-series-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-s5504va-ma541ws-thin-light-laptop/p/itm8486d594ff56b?pid=COMHYWSWHTGX8BWG&lid=LSTCOMHYWSWHTGX8BWGUIGHE6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMHYWSWHTGX8BWG.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",S5504VA-MA541WS,90NB0ZK1-M007Y0,S5504VA-MA541WS,Vivobook S 15 OLED Intel EVO H-Series,Solar Blue,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,16 GB,LPDDR5,Intel Integrated Iris Xe,SSD,Windows 11 Home,,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x Thunderbolt 4 supports display / power delivery",No,39.62 cm (15.6 inch),2880 x 1620 Pixel,"2.8K, OLED, 16:9 aspect ratio, 0.2ms response time, 120Hz refresh rate, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light",Yes,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,v5.3,359.3 x 229.4 x 17.9 mm,1.7 Kg,Not Available,1080p FHD camera With privacy shutter,Backlit Chiclet Keyboard,Yes,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,13500H,,Yes,,,4 cell,Max turbo frequency at 4.7 Ghz,1 x HDMI 1.4,13th Gen,Yes,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹51,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/r/u/-original-imah3acvkdhmxkzq.jpeg?q=70,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1695in-gaming-laptop/p/itmc1581367ea4e2?pid=COMGYSFG4WHPVAVZ&lid=LSTCOMGYSFG4WHPVAVZ6L3G5Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMGYSFG4WHPVAVZ.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop,Battery,Power Adapter, User Guide",Thin 15 B12UCX-1695IN,9S7-16R831-1695,Thin 15 B12UCX-1695IN,Thin 15,Cosmos Gray,Gaming Laptop,Gaming,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,NVIDIA GeForce RTX 2050,SSD,Windows 11 Home,,"1 x Type-C (USB3.2 Gen1 / DP), 3 x Type-A USB3.2 Gen1",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, 144Hz 45%NTSC IPS-Level",Yes,,802.11 ax Wi-Fi 6E,v5.3,359 x 254 x 21.7 mm,1.86 Kg,Not Available,HD type (30fps@720p),Blue Backlit Gaming Keyboard,,,2 Year Onsite Warranty,Onsite,Manufacturing Defects,"Physical Damage, Burn, Liquid Spill",,,12450H,,Yes,,,,1.5 GHz upto Max turbo frequency at 4.40 Ghz,1x HDMI (4K @ 30Hz),12th Gen,,,,,,,GDDR6,4 GB,,144 Hz,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7W4HN/A,"₹91,064",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/q/h/-original-imagypv6prbgkfzg.jpeg?q=70,https://www.flipkart.com/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7w4hn-a/p/itm2ea42dec44bca?pid=COMH64PYZU4ZZR79&lid=LSTCOMH64PYZU4ZZR79AHLYXY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9J8u9-7NVmgv8icHA9vm-KombBliG4m8y5ZPgjB2lpcmB7zrT4gkWAkPCdPBnPCejA%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"13.6 inch MacBook Air USB-C Power Adapter, USB-C to MagSafe 3 Cable (2 m)",MC7W4HN/A,MC7W4HN/A,MacBook Air,MacBook AIR,Starlight,Thin and Light Laptop,Processing & Multitasking,Upto 18 Hours,No,Apple,M2,Yes,256 GB,16 GB,Unified Memory,NA,SSD,macOS Sequoia,Yes,2 x Thunderbolt USB 4,No,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina display, LED-backlit display with IPS technology native resolution at 224 pixels per inch, 500 nits brightness",Built-in Speakers,Four-speaker sound system,Wi-Fi 6 (802.11ax),v5.3,304.1 x 215.0 x 11.3 mm,1.24 kg,Not Available,1080p FaceTime HD camera,Backlit Magic Keyboard,Yes,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",1 Year Limited Warranty,Onsite,Manufacturing Defects,Physical Damage,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,"₹44,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/6/q/i/a324-51-thin-and-light-laptop-acer-original-imah4bj6zhjvn8uh.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-backlit-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm4fa0fcf0e2e15?pid=COMHY24RMZ8PUDTT&lid=LSTCOMHY24RMZ8PUDTT6GAEHA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9Kyg19YIDmXIrhc4qkusSxx9G9tE_J4FHnJYlBHEJKEKMsrgPW5YLzJU0_H6_RHKR0%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",A324-51,UN.343SI.003,A324-51,Aspire 3 Backlit,Steel Gray,Thin and Light Laptop,Everyday Use,,No,Intel,Core i5,Yes,512 GB,16 GB,DDR4,Intel Integrated Intel Graphics,SSD,Windows 11 Home,,,No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, LED-backlit TFT LCD",Two built-in stereo speakers,,WIFI 6,v5.2,321.7 x 206.6 x 19.4 mm,1.45 Kg,Not Available,2M With Privacy Camera Shutter,84-key Acer backlit keyboard layout with US language,Yes,,1 Year Domestic Warranty,Onsite,Manufacturing Defects,Physical Damage,,65 W,1235U,,Yes,Touchpad,,2 cell,Max turbo frequency at 4.4 Ghz,1x HDMI Port,12th Gen,No,,,,,,,,,,No,64 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad 1 AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and Ligh...,"₹41,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/g/j/x/-original-imah2uruhh5dkdmf.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-1-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-15alc7-thin-light-laptop/p/itmd44c92b46b181?pid=COMHYG8ZDVPTUYYB&lid=LSTCOMHYG8ZDVPTUYYBQHTHWS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMHYG8ZDVPTUYYB.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, battery, adapter, cables and user manuals",15ALC7,82R400EFIN|82R400EHIN,15ALC7,IdeaPad 1,Cloud Grey,Thin and Light Laptop,Processing & Multitasking,,Yes,AMD,Ryzen 7 Octa Core,Yes,512 GB,16 GB,DDR4,AMD Radeon AMD,SSD,Windows 11 Home,Yes,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"FHD, IPS 250nits Anti-glare",Built-in Dual Dolby Stereo speakers,,"Wi-Fi 6, 11ax 2x2",v5.2,360.2 x 236 x 17.9mm,1.61 kg,Not Available,HD 720p with Privacy Shutter,"Non-backlit, English",No,,1 Yr. Onsite + 1 Yr. Accidental Damage Protection,Carry-in,Manufacturing Defects,Physical Damage,1 Year,,5700U,8,Built-in Dual array microphone,,42 Wh,,Upto 4.3 GHz,1x HDMI 1.4b,,,12 MB,Windows 11 Home,16 GB,,,,,,,,,AMD SoC Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,"₹34,990",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/i/y/-original-imah4qsetuyd8gwa.jpeg?q=70,https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itm2977a9ca00317?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6MHJQTO4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=1b831e53-8190-431e-9a7e-658f869c833c.COMGZVGHE9QU8C6M.SEARCH&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, battery, power adapter, user guide",15s-fy5003TU,7Q700PA#ACJ,15s-fy5003TU,15s,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,Intel Integrated UHD,SSD,Windows 11 Home,,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",Yes,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),v5.0,,1.69 Kg,Not Available,HP True Vision 720p HD camera,"Full-size, natural silver keyboard with numeric keypad",No,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,1215U,,Yes,,,3 Cell,0.9 GHz upto max turbo frequency at 4.4 Ghz,,12th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,"₹48,700",Data not available,Data not available,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/0/k/14iah8-thin-and-light-laptop-lenovo-original-imahfyrf9zzhzyy5.jpeg?q=70,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-8-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMHFYZ3GZVH37GY&lid=LSTCOMHFYZ3GZVH37GYBMASJU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_Wq31evc97H0IfUO_NAl8fEc7w7G5pz7tP2tXRvjiD9IZkUBTcamWZrC2lNX_7BzIKz_7Q8IPXoi3fwg0uqHUEMDbPjpExlWhmpgUQnOg2ao%3D&ppt=None&ppn=None&ssid=jow4sa1i680000001738364678370&qH=312f91285e048e09,2025-02-01 00:04:39,"Laptop, Power Adaptor, User Guide, Warranty Documents",14IAH8,83EQ0063IN,14IAH8,IdeaPad Slim 3,Arctic Grey,Thin and Light Laptop,Processing & Multitasking,,Yes,Intel,Core i5,Yes,512 GB,8 GB,LPDDR5,Intel Integrated UHD,SSD,Windows 11 Home,,"2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort 1.2)",No,35.56 cm (14 Inch),1920 x 1080 Pixel,"Full HD, TN 250nits Anti-glare",Yes,,"Wi-Fi 6, 11ax 2x2",v5.2,324.3 x 213.8 x 17.9 mm,1.37 Kg,Not Available,Full HD 1080p with Privacy Shutter,"Backlit, English",,,1 Yr. Onsite,Carry-in,Manufacturing Defects,Physical Damage,,65 W,12450H,,Yes,,,,Max Turbo Frequency upto 4.40 GHz,1 x HDMI 1.4,12th Gen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
