title,price,rating,reviews,image_url,product_url,collection_date,Sales Package,Brand,Graphics Engine,GPU Clock,Bus Standard,Model ID,Power Supply Required,Part Number,Memory,Memory Bandwidth,Graphics Technologies Supported,3D Support,DVI and HDMI Interface,Other Interface,HD Content Support,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Service Type,Cooling and Heatsink,Dimensions,Weight,Additional Features,Processors and Cores,Shader,Maximum Resolution,Supported OS,Software Included,RAMDAC Clock Speed,VGA/D-SUB Output,GPU Manufacturing Process,Mini HDMI,Other System Requirements
MSI NVIDIA GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR 1...,"₹1,17,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kz4gh3k0/graphics-card/a/5/l/geforce-rtx-3080-ventus-3x-plus-12g-oc-lhr-msi-original-imagb7fz7tvfdpju.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-3080-ventus-3x-plus-12g-oc-lhr-12-gb-gddr6x-graphics-card/p/itm63a25c0fd40c7?pid=GRCGB7FCEJTJ7WK9&lid=LSTGRCGB7FCEJTJ7WK9KGFGTN&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_217&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCGB7FCEJTJ7WK9.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic Card and user manual,MSI,NVIDIA NVIDIA GeForce RTX 3080,1740 MHz,PCI Express Gen 4,GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR,,GeForce RTX 3080 VENTUS 3X PLUS 12G OC LHR,"384-bit, 12 GB GDDR6X Memory",,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,,,,,,,,,,,
FIRSTPOINTSHOP NVIDIA LAPCARE GAMEX LGC-730 2 GB DDR3 G...,"₹3,700",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/y/i/l/lapcare-gamex-lgc-610-firstpointshop-original-imah6euhqbeeyehb.jpeg?q=70,https://www.flipkart.com/firstpointshop-nvidia-lapcare-gamex-lgc-730-2-gb-ddr3-graphics-card-4/p/itm62612ab6930fd?pid=GRCH6FTNXJKZ4VDA&lid=LSTGRCH6FTNXJKZ4VDATI8N1V&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_221&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCH6FTNXJKZ4VDA.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Unit Graphics Card,FIRSTPOINTSHOP,NVIDIA GT730,700 MHz,PCI 2.0,LAPCARE GAMEX LGC-730 2 GB DDR3 Graphics Card,,LGC-730,"128-bit, 4 GB DDR3 Memory with 700 MHz",40 Gbps,,,,,HDTV Support,3 Years,Manufacturer defect,Broken Product not covered warranty,Carry in,Heatsink,,,,,,2560x1600 (Digital),,,,,,,
ZOTAC NVIDIA GAMING GeForce RTX 4070 Twin Edge OC 12 GB...,"₹57,449",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/g/w/0/gaming-geforce-rtx-4070-twin-edge-oc-zotac-original-imagqbq3deu86eqh.jpeg?q=70,https://www.flipkart.com/zotac-nvidia-gaming-geforce-rtx-4070-twin-edge-oc-12-gb-gddr6x-graphics-card/p/itm2db09d49bb86c?pid=GRCGQBQ3ZAQHE7S6&lid=LSTGRCGQBQ3ZAQHE7S6NHQVOO&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_225&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCGQBQ3ZAQHE7S6.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Graphic Card,ZOTAC,NVIDIA GeForce RTX 4070,2490 MHz,PCI Express 4.0 16x,GAMING GeForce RTX 4070 Twin Edge OC,600 W,RTX 4070,"192-bit, 12 GB GDDR6X Memory",,,,,,,5 Years Warranty : 3 Years Standard and 2 Years Extended Warranty on Registration,Complete Product Warranty,"Tampers, defaces, or removes any stickers containing product identification information such as model number, serial number, or part number. Tampers, defaces, or removes any stickers indicating void warranty if broken. Causes defects through improper usage, failure to comply with operations, inappropriate operating conditions, or unapproved repairs or modifications. Causes defects through accidents, acts of God, acts of nature, negligence, liquid immersion, or improper ventilation. Knowingly and willingly attempt to defraud the validity of a claim.",Carry-in Warranty,,,,,5888 CUDA Cores,,,,,,,,,
GIGABYTE NVIDIA GV-N4060WF2OC-8GD 8 GB GDDR6 Graphics C...,"₹31,499",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/y/x/g/gv-n4060wf2oc-8gd-gigabyte-original-imah6ekqzcxrjtyh.jpeg?q=70,https://www.flipkart.com/gigabyte-nvidia-gv-n4060wf2oc-8gd-8-gb-gddr6-graphics-card/p/itm78d12bdde9d78?pid=GRCGSVVZQHPEFN2Q&lid=LSTGRCGSVVZQHPEFN2QUSS7A5&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_229&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCGSVVZQHPEFN2Q.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,"?GRAPHIC CARD, USERS MANUAL",GIGABYTE,NVIDIA ?PCI-Express x16,128 MHz,NA,GV-N4060WF2OC-8GD,,GV-N4060WF2OC-8GD,"128-bit, 8 GB GDDR6 Memory",,,,,,,3 Years Warranty,Manufacturing Defects,Physical Damages will Not Covered in Warranty,On-site,,,,,,,,,,,,,,
GALEX NVIDIA 3070TI 8 GB GDDR6 Graphics Card,"₹64,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/n/u/g/3070ti-galex-original-imagg9xyfedtdegj.jpeg?q=70,https://www.flipkart.com/galex-nvidia-3070ti-8-gb-gddr6-graphics-card/p/itmbe82b4b055ed3?pid=GRCGG9XYHATR6MG2&lid=LSTGRCGG9XYHATR6MG27PN9BC&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_233&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCGG9XYHATR6MG2.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,1,GALEX,NVIDIA Microsoft® DirectX® 12 Ultimate,1725 MHz,256,3070TI,,3,"256-bit, 8 GB GDDR6 Memory",,,,,,,3,3,3,REPAIR/REPLACE,,,,,,,,,,,,,,
nVIDIA NVIDIA GEFORCE RTX 2060 Twin X2 6 GB GDDR6 Graph...,"₹34,500",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/w/b/h/geforce-rtx-2060-twin-x2-nvidia-original-imaggp8wzkntghdg.jpeg?q=70,https://www.flipkart.com/nvidia-geforce-rtx-2060-twin-x2-6-gb-gddr6-graphics-card/p/itmdd14f00f164e7?pid=GRCGGP8WAUWWNY9Z&lid=LSTGRCGGP8WAUWWNY9Z2M4FYG&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_6_237&otracker=search&fm=organic&iid=7b0e8de2-fbc6-44df-86eb-c3669b0cf348.GRCGGP8WAUWWNY9Z.SEARCH&ppt=None&ppn=None&ssid=l265oxqsrk0000001738684101011&qH=ae2a487734c75ca2,2/5/2025 16:45,Set of 1,nVIDIA,NVIDIA NVIDIA GEFORCE RTX 2060 Twin X2,1680 MHz,PCI-E 3.0 X16,GEFORCE RTX 2060 Twin X2,,N20602-06D6-1710VA15L,"192-bit, 6 GB GDDR6 Memory",,,,,,,3 year manufacturer warranty,Manufacturing defects,Physical damage and burns,Off Site,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,"₹31,499",3.8,Data not available,https://rukminim2.flixcart.com/image/300/300/kwtkxow0/graphics-card/u/2/h/rtx-3060-ti-twin-edge-oc-lhr-zotac-original-imag9ez5qgsrzgcp.jpeg?q=90,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NexLens AMD/ATI 3D VR Glasses | Virtual Reality Headset...,₹571,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/processor/r/o/i/3d-vr-headset-with-adjustable-lenses-vr-glasses-for-iphone-original-imah54hc52s4phzg.jpeg?q=70,https://www.flipkart.com/nexlens-amd-ati-3d-vr-glasses-virtual-reality-headset-gaming-movies-entertainment-2-gb-ddr2-graphics-card/p/itm7b3e0abfcdf33?pid=GRCH55A78NEHCTBG&lid=LSTGRCH55A78NEHCTBGPPHH3U&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_241&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCH55A78NEHCTBG.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,"1VR BOX, USER MANUAL",NexLens,AMD/ATI vr headset,5.3 MHz,VR BOX,"3D VR Glasses | Virtual Reality Headset for Gaming, Movies & Entertainment",0 W,2210,"2-bit, 2 GB DDR2 Memory with 0 MHz",0 Gbps,"Microsoft DirectX v0, Open GL Optimization v0,  AMD CrossFireX supported, Yes support",Yes support,"0 x DVI Output Out, Yes x Dual Link DVI Out, 0 x HDMI Output Out, 0","Yes x Co-Axial TV Out, Yes x VIVO Out, 0 x Display Port Out, 0 x Mini Display Port Out, 0",HDCP Support and HDTV Support,NA,NA,NA,0,0,0 x 0 x 0 mm,0 g,0,"0 Stream Processor, 0 Shader Processors, 0 CUDA Cores",Shader Version 0 with Clock speed of 0 MHz,"0 (Digital), 0 (Analog)",0,0,0 MHz,0xVGA DSub Output,0 nm,0 x Mini HDMI Output,0
Xsentuals NVIDIA PCIe Riser for Bitcoin ETH Coin Mining...,"₹3,484",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/t/g/i/pcie-riser-for-bitcoin-eth-coin-mining-ver009s-gpu-riser-kits-original-imagm9m6facvgzgn.jpeg?q=70,https://www.flipkart.com/xsentuals-nvidia-pcie-riser-bitcoin-eth-coin-mining-ver009s-gpu-kits-ver009s-6pcs-16-gb-gddr4-graphics-card/p/itmd69a8e0d34b33?pid=GRCGM9M6FTH5VUFZ&lid=LSTGRCGM9M6FTH5VUFZ5ITPUH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_245&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGM9M6FTH5VUFZ.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,6 x VER009S / 009S PCIe Riser Card,Xsentuals,NVIDIA 1,120 MHz,3,"PCIe Riser for Bitcoin ETH Coin Mining,VER009S GPU Riser Kits VER009S 6PCS",,VER009S / 009S,"64-bit, 16 GB GDDR4 Memory",,,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,
Sapphire AMD/ATI 11335-04-20G 12 GB GDDR6 Graphics Card,"₹41,349",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/p/t/x/11335-04-20g-sapphire-original-imahfehezzdcgdkh.jpeg?q=70,https://www.flipkart.com/sapphire-amd-ati-11335-04-20g-12-gb-gddr6-graphics-card/p/itmaf89669cab037?pid=GRCGY988WVRR3YCD&lid=LSTGRCGY988WVRR3YCDBJLLHZ&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_249&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGY988WVRR3YCD.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphics Card, User Manual, Warranty Card",Sapphire,AMD/ATI RX 7700 XT,2544 MHz,192 Bit DDR6,11335-04-20G,700 W,PULSE AMD RADEON� RX 7700 XT,"192-bit, 12 GB GDDR6 Memory",18 Gbps,,,,,,2 Years Warranty,Manufaturing Defects,Physical Damages,In Case Any Query Customer Needs to Mail Us at Service@arkinfo.in,,,,,,,,,Driver,,,,,
GIGABYTE AMD Radeon GV-R66XTGAMING OC-8GD 8 GB GDDR6 Gr...,"₹48,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l0h1g280/graphics-card/k/v/g/gv-r66xtgaming-oc-8gd-gigabyte-original-imagc9y7ett5qnkz.jpeg?q=70,https://www.flipkart.com/gigabyte-amd-radeon-gv-r66xtgaming-oc-8gd-8-gb-gddr6-graphics-card/p/itm5c3e4bbe7798e?pid=GRCGC4H4WTUKB2NH&lid=LSTGRCGC4H4WTUKB2NHWD2YHR&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_253&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGC4H4WTUKB2NH.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 Graphic Card, Quick Guide",GIGABYTE,AMD Radeon Radeon RX 6600 XT,16000 MHz,PCI Express 4.0 x8,GV-R66XTGAMING OC-8GD,500 W,9VR66XTGO-00-10,"128-bit, 8 GB GDDR6 Memory with 16000 MHz",256 Gbps,,,2 x HDMI Output Out,2 x Display Port Out,,3 Years Warranty,Manufacturing Defects,Physical Damage,On-site,,115 x 50 x 282 mm,,,2048 Stream Processor,,7680 x 4320 (Digital),,,2382 MHz,,,,
Geforce NVIDIA 2060 Super 8 GB GDDR6X Graphics Card,"₹60,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/m/t/8/2060-super-geforce-original-imagg9qk8jbqrzkz.jpeg?q=70,https://www.flipkart.com/geforce-nvidia-2060-super-8-gb-gddr6x-graphics-card/p/itm949bb71d33669?pid=GRCGG9QKCEZEVUHZ&lid=LSTGRCGG9QKCEZEVUHZVEBDXH&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_257&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGG9QKCEZEVUHZ.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic card,Geforce,NVIDIA NVIDIA NVIDIA GeForce RTX 2060 Super,1800 MHz,PCI Express Gen 4,2060 Super,,GV-N206SAORUS-8GC,"256-bit, 8 GB GDDR6X Memory",,,,,,,1 year,Manufacturing defects,Physical damaged not covered,Carry In,,,,,,,,,,,,,,
"Etzin NVIDIA PCI-E 1 to 6 Riser Card,PCI-E 1X to Extern...","₹2,699",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l23mhzk0/graphics-card/g/p/4/6-in-1-pci-e-riser-adapter-board-1-to-6-pci-e-1x-express-usb3-0-original-imagdgjvh9enj4gm.jpeg?q=70,https://www.flipkart.com/etzin-nvidia-pci-e-1-6-riser-card-pci-e-1x-external-usb-3-0-adapte-gb-ddr2-graphics-card/p/itm793cc3f63169c?pid=GRCGAYDBNGKNWPEJ&lid=LSTGRCGAYDBNGKNWPEJQQWPAV&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_261&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGAYDBNGKNWPEJ.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,1 PCI-E 1 to 6 PCI CARD,Etzin,NVIDIA PCI-E 1 to 6 Riser Card,60 MHz,PCI-E-1X6-USB3.0,"PCI-E 1 to 6 Riser Card,PCI-E 1X to External 6 PCI-E USB 3.0 Adapte",,PCI-E-1X6-USB3.0,"6-bit, 1 GB DDR2 Memory",,,,,,,1 Month,Product External damage,Product replacement warranty,Product replacement warranty,,,,,,,,,,,,,,
MSI AMD Radeon Radeon RX 6800 GAMING X TRIO 16G 16 GB G...,"₹92,550",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/kkoc70w0/graphics-card/6/f/w/radeon-rx-6800-gaming-x-trio-16g-msi-geforce-original-imafzypxmbmnsfxs.jpeg?q=70,https://www.flipkart.com/msi-amd-radeon-rx-6800-gaming-x-trio-16g-16-gb-gddr6-graphics-card/p/itme478ed576673b?pid=GRCGB7FCVMCNXBJR&lid=LSTGRCGB7FCVMCNXBJRPDRZ1C&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_265&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGB7FCVMCNXBJR.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic Card and user manual,MSI,AMD Radeon Radeon RX 6800,2155 MHz,PCI Express Gen 4,Radeon RX 6800 GAMING X TRIO 16G,,Radeon RX 6800 GAMING X TRIO 16G,"256-bit, 16 GB GDDR6 Memory",,,,,,,3 Years Limited Warranty,Manufacturing defects,Physical damage not covered,Please contact MSI Repair Center,,,,,,,,,,,,,,
"Tobo NVIDIA M.2 to 2.5 inch SATA Enclosure,M.2 SSD to 2...","₹1,310",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/ksaoqkw0/hard-drive-enclosure/f/h/q/2-5-m-2-to-2-5-inch-sata-enclosure-m-2-ssd-to-2-5-inch-sata-original-imag5w6hszpyhfaq.jpeg?q=70,https://www.flipkart.com/tobo-nvidia-m-2-2-5-inch-sata-enclosure-m-2-ssd-adapter-case-10-gb-ddr2-graphics-card/p/itm5b4359a5e02d0?pid=GRCGEWTWWDXXWMHV&lid=LSTGRCGEWTWWDXXWMHVBZQRZR&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_269&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGEWTWWDXXWMHV.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 x M.2 NGFF to SATA 2.5"" Enclosure",Tobo,NVIDIA PCI-E,3 MHz,2.5 inch,"M.2 to 2.5 inch SATA Enclosure,M.2 SSD to 2.5 inch SATA Adapter with case",,M.2 to 2.5 inch SATA,"500-bit, 10 GB DDR2 Memory",,,,,,,1Month Manufacturer Warranty,Only Internal Damage/Issue Will Cover,"External Damage/Issue Will Not Cover i.e. Water Damage, Physical Damage",Product Replacement warranty,,6.7 x 9.5 x 1 mm,5 g,,,,,,,,,,,
GALAX NVIDIA GEFORCE GT 730 4GB DDR3 4 GB GDDR3 Graphic...,₹499,Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/jyrl4sw0/graphics-card/d/3/k/galax-geforce-gt-730-4gb-ddr3-original-imafgwgg2m2z8fzq.jpeg?q=70,https://www.flipkart.com/galax-nvidia-geforce-gt-730-4gb-ddr3-4-gb-gddr3-graphics-card/p/itmf78bd8bd5d170?pid=GRCFGWJAZYKXFD3K&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_273&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCFGWJAZYKXFD3K.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,"1 X Graphic Card, 1 X Driver CD, 1 X Manual Guide",GALAX,NVIDIA GT 730,901 MHz,PCI-E 2.0,GEFORCE GT 730 4GB DDR3,300 W,73GQS4HX00WG,"64-bit, 4 GB GDDR3 Memory",10.64 Gbps,,,,,,3 Year Limited Warranty,Manufacturing Defects,"Physical Damage, Burnt",Carry-In,Cooling Fan,175 x 121 x 44 mm,350 g,,384 CUDA Cores,,4096x2160 (Digital),,,,,,,
GALAX NVIDIA 3070 Ti Exg 8 GB GDDR6 Graphics Card,"₹60,000",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/e/q/q/3070-ti-exg-galax-original-imagg9s7fa6pqqxa.jpeg?q=70,https://www.flipkart.com/galax-nvidia-3070-ti-exg-8-gb-gddr6-graphics-card/p/itmad7de934dd22c?pid=GRCGG9S759HHYFG4&lid=LSTGRCGG9S759HHYFG4NWAL23&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_7_277&otracker=search&fm=organic&iid=adf746e9-7158-4198-b348-677a8f0664e3.GRCGG9S759HHYFG4.SEARCH&ppt=None&ppn=None&ssid=lxq0c366n40000001738684134683&qH=ae2a487734c75ca2,2/5/2025 16:45,Graphic card,GALAX,NVIDIA NVIDIA NVIDIA Galax RTX 3070 Ti,1770 MHz,PCI Express Gen 4,3070 Ti Exg,,37ISM6MD4COC,"256-bit, 8 GB GDDR6 Memory",,,,,,,1 Year,Manufacturing defects,Physical damaged not covered,Carry In,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,₹499,3.7,Data not available,https://rukminim2.flixcart.com/image/300/300/kw3v0cw0/graphics-card/i/7/p/8-pin-female-to-2-6-2-pin-male-pin-8pin-female-pcie-to-2-pcie-original-imag8uyexqymhn7y.jpeg?q=90,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data not available,Data not available,Data not available,Data not available,Image not available,URL not available,2/5/2025 16:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI NVIDIA GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC W...,"₹1,04,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/p/p/u/geforce-rtx-4070-ti-super-16g-ventus-2x-oc-white-msi-original-imah78hnzqewxszd.jpeg?q=70,https://www.flipkart.com/msi-nvidia-geforce-rtx-4070-ti-super-16g-ventus-2x-oc-white-16-gb-gddr6-graphics-card/p/itm81d0270f42499?pid=GRCH77HDGNQH3ZSC&lid=LSTGRCH77HDGNQH3ZSCSAHDJ9&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_8_281&otracker=search&fm=organic&iid=38c3411b-7629-46d8-935d-8e4193b48787.GRCH77HDGNQH3ZSC.SEARCH&ppt=None&ppn=None&ssid=sncltt8u8w0000001738684163096&qH=ae2a487734c75ca2,2/5/2025 16:45,1 (GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC WHITE ),MSI,NVIDIA NVIDIA GeForce RTX 4070 TI SUPER,2655 MHz,PCI Express Gen 4,GeForce RTX 4070 Ti SUPER 16G VENTUS 2X OC WHITE,,16 GB GDDR6,"256-bit, 16 GB GDDR6 Memory",,,,,,,1 Year from the date of purchase,Warranty is applicable on manufacturing defects (If any) for 1 Year from the date of purchase.,"Unauthorized tampering, modification or repair physical damage; water Damage or any other damage due to heat, humidity, moisture and mishandling doing operations",Warranty claim along with the necessary contact information required: RMA Portal - www.acrorma.com or mail on support@acrorma.com,,242 x 51 x 125 mm,1214 g,Good Quality Product,,,,,,,,,,
LipiWorld NVIDIA Pack Of 4 VER011-PRO Riser Card 10 Cap...,"₹1,999",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/l02r1jk0/graphics-card/5/f/7/pack-of-4-ver011-pro-riser-card-10-capacitors-pci-e-1x-to-16x-original-imagbxvbtghmqx5h.jpeg?q=70,https://www.flipkart.com/lipiworld-nvidia-pack-4-ver011-pro-riser-card-10-capacitors-pci-e-1x-16x-16-gb-gddr4-graphics/p/itme83af78e48518?pid=GRCGBXVBYQKGCUZ4&lid=LSTGRCGBXVBYQKGCUZ4USGQOY&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_8_285&otracker=search&fm=organic&iid=38c3411b-7629-46d8-935d-8e4193b48787.GRCGBXVBYQKGCUZ4.SEARCH&ppt=None&ppn=None&ssid=sncltt8u8w0000001738684163096&qH=ae2a487734c75ca2,2/5/2025 16:45,4 Piss VER011-PRO Riser Card,LipiWorld,NVIDIA NVIDIA 1,120 MHz,3,Pack Of 4 VER011-PRO Riser Card 10 Capacitors PCI-E 1X to 16X,,VER011-PRO,"64-bit, 16 GB GDDR4 Memory",,,,,,,Seller Warranty,1 Month,If damaged will not be repaired/covered under warranty,Seller Warranty,,,,,,,,,,,,,,
ZEBRONICS NVIDIA Zeb GT 610 2 GD3 2 GB DDR3 Graphics Ca...,"₹1,424",Data not available,Data not available,https://rukminim2.flixcart.com/image/612/612/xif0q/graphics-card/p/x/l/zeb-gt-610-2-gd3-zebronics-original-imah5yy6ggm5tft7.jpeg?q=70,https://www.flipkart.com/zebronics-nvidia-zeb-gt-610-2-gd3-gb-ddr3-graphics-card/p/itm2ae8293c62707?pid=GRCH5YY6GZGXUZZC&lid=LSTGRCH5YY6GZGXUZZCFULTKN&marketplace=FLIPKART&q=graphics+card&store=4rr%2Ftin%2F6zn&srno=s_8_289&otracker=search&fm=organic&iid=38c3411b-7629-46d8-935d-8e4193b48787.GRCH5YY6GZGXUZZC.SEARCH&ppt=None&ppn=None&ssid=sncltt8u8w0000001738684163096&qH=ae2a487734c75ca2,2/5/2025 16:45,1 Unit Graphics Card,ZEBRONICS,NVIDIA 610,1000 MHz,PCI 2.0,Zeb GT 610 2 GD3,,ZEB-GT610-2GD3,"64-bit, 2 GB DDR3 Memory with 1000 MHz",,,,1 x HDMI Output Out,,HDTV Support,3 YEAR'S,Manufacturer defect,Broken Product not covered warranty,Carry in,,,,,,,,All OS,,,1xVGA DSub Output,,,
